指令,技能名,典故,备注
df1+2,Alegria del Café,"Alegria：
西班牙语中意为“快乐”或“喜悦” 

del Café：
西班牙语中意为“咖啡的” 

组合含义：
“Alegria del Café” 可直译为 “咖啡的快乐”",
"1,1",High Mountain Combo,"秘鲁多山。此为马丘比丘，是一座建于前哥伦布时期（15世纪）的印加帝国城市遗迹，位于秘鲁南部的秘鲁东部山脉，库斯科西北方80公里处，整个遗址高耸在海拔2,430米（7,970英尺）的山脊上，俯瞰着乌鲁班巴河谷。",确反进LD
"1,2",High Roast Combo,"深烘咖啡，即用高温烘焙咖啡豆。
隨著高溫熱解反應以及類黑素的形成，咖啡會產生更多苦味、分泌出更多油脂，同時顏色也會變得更深。因此深焙咖啡外觀為深褐色，且表面會透出油亮光澤，品嘗時能享受到煙燻木質香氣，口感濃郁醇厚，甘苦尾韻綿長，讓人回味無窮",
"2,1,2",Andes Mountain Uppercut Combo,"安第斯山脉纵贯秘鲁国土南北。是陆地上最长的山脉，位于南美洲的西岸，约7,000公里。

秘鲁水资源管理机构主席卡尔门·菲力普说，“安第斯山脉冰雪的这种融化速度意味着灾难的来临。从短期看，秘鲁在不久的将来会遭遇严重的洪灾和泥石流，而从长远看，秘鲁将失去赖以生存的水资源。”
自1970年来，安第斯山脉，尤其是山脉东部的降雨量不断增大，已经引发数次大规模洪灾。但在南美洲中部和智利南部，降雨量却逐年减少。2005年，亚马逊盆地还发生特大旱情。在今后50年，南美洲四周海平面将持续上升，直接威胁到拉丁美洲的60个沿海大城市，这些城市将面临飓风的严峻挑战。科学家们建议拉丁美洲各国政府不要再犯美国和欧洲等国的错误，不要轻易在本国修建大坝，也不要过度开采煤炭与石油，因为这些行为都有可能导致气候变化、冰川融解。在智利与阿根廷边境上正在实施的PascuaLama金矿项目将导致3座矿山的积雪融化，这些雪水夹杂着开矿时产生的有毒物质从山上流下，会对人们生活造成危害。",
"3,2",Groovy Strike,Groovy ：时髦、绝妙,
"3,2→",Groovy Strike,,高风险进LD
"3,3",Groovy Punalada,Punalada：刺,
4,"Guapu?o
グアパプーノ",Guapu?o意义不明， Guapo是帅气的意思(形容女性），pu?o是拳头的意思。考虑到日语里没有分割，这招应该是叫做：靓女回身拳,自动进背身
"4,1","Guapu?o
グアパプーノ",同上,自动进背身
"4,3",Delfin Patadas,"Delfin ：海豚
patadas: 腿法",
1+2,Boomerang  Scythe,,
,→,,
"→2,1,4",Danza del Cóndor,（秃鹰之舞）是一种来自安第斯地区的传统文化舞蹈，它在南美洲的多个国家（如秘鲁、厄瓜多尔和玻利维亚）流行。这个舞蹈具有深刻的象征意义，通常与印加文化和自然崇拜紧密相关。,
